LGA,District_Code,State,area kmsq,lat,long,population,geopode pop,geopode pop 0-4
Auyo,NGA320,Jigawa,536.8330393,12.35163299,10.01335881,221290,109985,25729
Babura,NGA321,Jigawa,1042.352578,12.60913804,8.863406228,252422,317735,71538
Biriniwa,NGA322,Jigawa,1647.988001,12.82997788,10.07563763,169044,198533,46238
Birni Kudu,NGA323,Jigawa,1476.400913,11.47460122,9.484476317,385477,499183,110150
Buji,NGA324,Jigawa,571.5090805,11.59580762,9.72853312,112727,156424,35392
Dutse,NGA325,Jigawa,1147.245903,11.80179011,9.31743211,367360,461922,100573
Gagarawa,NGA326,Jigawa,685.7875949,12.51048216,9.551937021,88461,84932,19572
Garki,NGA327,Jigawa,1476.300984,12.41427429,9.080358219,193658,228322,51603
Gumel,NGA328,Jigawa,234.7030575,12.63776397,9.407679521,131400,91579,19959
Guri,NGA329,Jigawa,1112.238468,12.64658387,10.46620511,142464,107559,25285
Gwaram,NGA330,Jigawa,1986.569438,11.1998272,9.96848839,349652,425551,94906
Gwiwa,NGA331,Jigawa,473.4677946,12.75508136,8.285316824,121513,99253,22173
Hadejia,NGA332,Jigawa,34.06280439,12.47042621,10.04567608,107866,105395,22733
Jahun,NGA333,Jigawa,1225.130829,12.07355367,9.556027854,275596,305838,69234
Kafin Hausa,NGA334,Jigawa,1443.693317,12.15994255,10.00844646,366847,313018,71853
Kaugama,NGA335,Jigawa,925.700707,12.50369304,9.770881278,139595,150234,34737
Kazaure,NGA336,Jigawa,387.0265129,12.65046436,8.537333303,178461,182172,39577
Kiri Kasamma,NGA337,Jigawa,835.6032342,12.57200896,10.2397559,219459,170135,39945
Kiyawa,NGA338,Jigawa,1075.509803,11.84432162,9.580781444,206475,288837,64050
Maigatari,NGA339,Jigawa,915.5109717,12.71581329,9.582414749,178462,152661,35009
Malam Madori,NGA340,Jigawa,803.5227471,12.56752343,10.00853911,161153,201721,45869
Miga,NGA341,Jigawa,613.3355846,12.23247022,9.694630182,138523,156827,35841
Ringim,NGA342,Jigawa,1106.047952,12.18249167,9.105770055,276007,271292,60629
Roni,NGA343,Jigawa,338.5236787,12.58871218,8.332957372,141691,105980,23256
Sule-Tankarkar,NGA344,Jigawa,1348.087224,12.64281035,9.221955719,151188,206049,47303
Taura,NGA345,Jigawa,683.5954745,12.28075036,9.383270246,169566,194165,44042
Yankwashi,NGA346,Jigawa,390.3236382,12.75069107,8.519714689,95695,89969,20035
Birnin-Gwari,NGA347,Kaduna,6409.269582,10.87514275,6.643603209,329325,437908,86034
Chikun,NGA348,Kaduna,4800.501339,10.3775259,7.218181064,630601,702849,126342
Giwa,NGA349,Kaduna,2145.578695,11.11883921,7.369288136,390355,377586,75067
Igabi,NGA350,Kaduna,3860.971101,10.7280428,7.527894162,596170,829459,151261
Ikara,NGA351,Kaduna,887.1767451,11.27145559,8.201573687,228147,344476,70521
Jaba,NGA352,Kaduna,378.7113281,9.474424843,8.040539828,169994,156512,26602
Jema'a,NGA353,Kaduna,1707.113295,9.367755283,8.261414993,419347,257789,42637
Kachia,NGA354,Kaduna,4772.200211,9.832222887,7.649993346,327480,335316,60549
Kaduna North,NGA355,Kaduna,74.92045475,10.54776332,7.435941664,477351,312419,49582
Kaduna South,NGA356,Kaduna,61.36440226,10.48446022,7.399098088,289615,304574,48958
Kagarko,NGA357,Kaduna,1915.864273,9.475063062,7.628687124,227992,307210,52494
Kajuru,NGA358,Kaduna,2904.299745,10.30023319,8.292645947,295306,183324,34897
Kaura,NGA359,Kaduna,499.10241,9.613356592,8.462212144,221462,166322,27750
Kauru,NGA360,Kaduna,2545.843669,10.27032834,7.876798503,169496,337467,64172
Kubau,NGA361,Kaduna,2598.384388,10.8679045,8.361004311,382877,522423,103781
Kudan,NGA362,Kaduna,415.7576261,11.26686536,7.778823026,200374,162770,31904
Lere,NGA363,Kaduna,2230.497457,10.35725088,8.572470551,441152,558090,104313
Markafi,NGA364,Kaduna,562.3901043,11.32158076,7.97935914,226989,321366,63857
Sabon-Gari,NGA365,Kaduna,273.7795986,11.17213267,7.678836778,334691,320303,57968
Sanga,NGA366,Kaduna,1289.433427,9.238396101,8.500705799,185103,214777,35488
Soba,NGA367,Kaduna,2317.99288,10.96077854,7.989334535,381348,545174,109282
Zango-Kataf,NGA368,Kaduna,2748.780113,9.840436082,8.236579962,366113,359121,63800
Zaria,NGA369,Kaduna,311.256422,11.03752116,7.705616015,570158,566182,100070
Ajingi,NGA370,Kano,746.2799462,11.9731313,9.06909277,196758,238250,53157
Albasu,NGA371,Kano,415.2027804,11.62639073,9.120325176,201643,214896,47850
Bagwai,NGA372,Kano,423.6755723,12.09634698,8.141253599,235050,211654,46857
Bebeji,NGA373,Kano,746.7766425,11.50481588,8.312163793,265008,247821,51990
Bichi,NGA374,Kano,640.8582474,12.26181067,8.272579482,354605,442720,97789
Bunkure,NGA375,Kano,508.1830115,11.66875449,8.597851787,236164,238838,52332
Dala,NGA376,Kano,19.92613846,12.00830345,8.502857862,647306,484959,90898
Dambatta,NGA377,Kano,767.4544241,12.42656018,8.639750912,259053,369279,80956
Dawakin Kudu,NGA378,Kano,401.1484798,11.80358911,8.671190929,324261,380627,83789
Dawakin Tofa,NGA379,Kano,501.3779292,12.13556461,8.396995887,338259,426837,95005
Doguwa,NGA380,Kano,1527.783078,10.84363711,8.676291625,157721,192833,38582
Fagge,NGA381,Kano,21.65693003,12.01505124,8.533731257,327654,292827,58193
Gabasawa,NGA382,Kano,633.5160927,12.15102864,8.860139525,233174,267156,59222
Garko,NGA383,Kano,469.2121118,11.55563273,8.847480178,190629,220015,48264
Garum Mallam,NGA384,Kano,223.3883449,11.65866949,8.403113292,131556,149854,31869
Gaya,NGA385,Kano,640.0264102,11.78381099,9.054959197,235464,267542,59994
Gezawa,NGA386,Kano,355.4809921,12.04339831,8.731624555,282998,397486,86823
Gwale,NGA387,Kano,19.11918332,11.98374075,8.491168349,493669,824030,157244
Gwarzo,NGA388,Kano,410.5506407,11.89564472,7.956495174,250084,325140,68343
Kabo,NGA389,Kano,355.931601,11.88025124,8.199638692,226951,141362,30671
Kano Municipal,NGA390,Kano,18.17623538,11.95806358,8.501521189,446554,353802,64031
Karaye,NGA391,Kano,499.5617703,11.75945283,8.011101552,206476,226314,47309
Kibiya,NGA392,Kano,420.494481,11.49308093,8.683741486,201585,145651,31708
Kiru,NGA393,Kano,966.6301164,11.59548526,8.148240706,411766,312374,65358
Kumbotso,NGA394,Kano,164.7042277,11.9175989,8.527064368,598155,997922,206499
Kunchi,NGA395,Kano,703.8019748,12.42064385,8.273458773,172905,210072,46597
Kura,NGA396,Kano,215.5266165,11.77826069,8.496972613,153169,186063,39725
Madobi,NGA397,Kano,285.5438476,11.81769199,8.388945999,240936,192497,42065
Makoda,NGA398,Kano,462.9178062,12.42867022,8.488786699,270333,208046,45812
Minjibir,NGA399,Kano,435.5817225,12.1876328,8.62816232,260592,350159,77957
Nasarawa1,NGA400,Kano,35.6527864,11.99245244,8.584236305,195010,640643,122746
Rano,NGA401,Kano,542.1030539,11.47461256,8.526564525,228487,184108,39138
Rimin Gado,NGA402,Kano,235.3891177,11.93546324,8.294305271,155968,100695,22158
Rogo,NGA403,Kano,835.2211372,11.51213328,7.848991289,277938,301890,62390
Shanono,NGA404,Kano,728.6717636,12.08136617,7.948020839,204601,157571,34114
Sumaila,NGA405,Kano,1300.907288,11.31719505,8.918352118,378887,369138,80230
Takali,NGA406,Kano,622.7796532,11.49744578,9.156068071,228151,273638,60130
Tarauni,NGA407,Kano,29.67583979,11.95618824,8.542845228,251897,295847,58311
Tofa,NGA408,Kano,210.8169589,12.01266708,8.33783589,200287,124394,27456
Tsanyawa,NGA409,Kano,515.2803985,12.26942003,8.002412988,221283,169052,37338
Tudun Wada,NGA410,Kano,1252.345023,11.25272694,8.586101571,289616,277309,57890
Ungogo,NGA411,Kano,213.8304318,12.05725925,8.539132371,706034,885809,186004
Warawa,NGA412,Kano,376.1518335,11.90658727,8.760454153,182979,193558,43338
Wudil,NGA413,Kano,377.559015,11.74706301,8.87918813,273215,214264,47145
Bakori,NGA414,Katsina,707.5946144,11.63051666,7.428495908,191695,342210,68937
Batagarawa,NGA415,Katsina,455.2027649,12.89688994,7.573848837,272586,281636,61814
Batsari,NGA416,Katsina,1163.660468,12.78639643,7.234959502,259657,294611,64513
Baure,NGA417,Katsina,746.7950421,12.79059583,8.789513797,261695,281602,64074
Bindawa,NGA418,Katsina,418.4252909,12.71853354,7.857808111,190158,269085,59532
Charanchi,NGA419,Katsina,494.3155248,12.60547331,7.676915499,181698,217248,46914
Dan Musa,NGA420,Katsina,828.6000699,12.22779138,7.328215553,147758,207380,43830
Dandume,NGA421,Katsina,439.6154584,11.41428979,7.19730596,182120,194184,38435
Danja,NGA422,Katsina,521.4234769,11.40141786,7.56652914,160475,192886,38290
Daura,NGA423,Katsina,332.9314147,12.98809484,8.251015721,309328,128349,27349
Dutsi,NGA424,Katsina,297.8743648,12.91002768,8.143019856,157432,106645,23803
Dutsin-Ma,NGA425,Katsina,552.3223701,12.44721042,7.515266395,213132,307052,64543
Faskari,NGA426,Katsina,1824.087143,11.67691871,7.085744753,242406,283841,57042
Funtua,NGA427,Katsina,466.8143409,11.47199289,7.298355725,286995,391463,71880
Ingawa,NGA428,Katsina,937.4307089,12.62304374,8.0874456,255000,207352,45685
Jibia,NGA429,Katsina,1096.885206,12.98991725,7.290683618,209072,255088,55941
Kafur,NGA430,Katsina,1153.613055,11.66182872,7.706425906,293484,328674,68170
Kaita,NGA431,Katsina,1013.687332,13.166466,7.724821246,224423,251861,56973
Kankara,NGA432,Katsina,1527.740208,11.97695778,7.360925382,307035,352204,72566
Kankia,NGA433,Katsina,864.1640195,12.44671678,7.787681172,190860,199689,43109
Katsina,NGA434,Katsina,149.6333495,13.00767039,7.60999024,376980,645665,128047
Kurfi,NGA435,Katsina,600.9352778,12.69836584,7.488663998,153354,177658,38692
Kusada,NGA436,Katsina,409.1544405,12.45730078,7.98152197,121745,114905,25168
Mai'Adua,NGA437,Katsina,569.0742372,13.14339393,8.217794302,222974,169215,37525
Malumfashi,NGA438,Katsina,703.7547334,11.8645036,7.658320122,236428,380454,75287
Mani,NGA439,Katsina,825.6422777,12.89286485,7.924754832,232892,308342,68282
Mashi,NGA440,Katsina,958.8460383,13.12687175,7.989543762,228661,307591,69267
Matazuu,NGA441,Katsina,526.9746551,12.26408672,7.625197475,134222,157738,33888
Musawa,NGA442,Katsina,887.5863728,12.09227817,7.689344178,220356,178072,37968
Rimi,NGA443,Katsina,475.6377135,12.83033984,7.69395684,186189,302298,66857
Sabuwa,NGA444,Katsina,667.5479557,11.31279643,7.085852768,178540,145661,29271
Safana,NGA445,Katsina,296.3793422,12.89866414,8.362090648,167358,232445,50065
Sandamu,NGA446,Katsina,1487.539527,12.48528614,7.247538262,232762,102971,22939
Zango,NGA447,Katsina,634.9211174,12.93822365,8.542602021,178577,163460,36174
Aleiro,NGA448,Kebbi,365.4822434,12.30941793,4.431159046,66549,64604,12311
Arewa-Dandi,NGA449,Kebbi,4072.52596,12.75432101,4.051971161,174872,248250,51059
Argungu,NGA450,Kebbi,1354.984363,12.69543348,4.419597695,237526,230890,44773
Augie,NGA451,Kebbi,1242.357875,12.91129968,4.595567513,84252,108063,22563
Bagudo,NGA452,Kebbi,4910.045158,11.34089528,3.937823271,315558,349308,70788
Birnin Kebbi,NGA453,Kebbi,1385.033506,12.47363702,4.268964707,384378,426825,76889
Bunza,NGA454,Kebbi,911.6968492,12.16226415,3.918283284,145563,166734,33901
Dandi,NGA455,Kebbi,2062.258563,11.83736794,3.805060717,141609,150004,30592
Fakai,NGA456,Kebbi,2331.83472,11.52019675,4.888836937,178540,136074,27969
Gwandu,NGA457,Kebbi,1064.067187,12.50397378,4.675560159,167002,202757,40564
Jega,NGA458,Kebbi,927.5938849,12.08016604,4.435681577,315684,196098,38155
Kalgo,NGA459,Kebbi,1222.109739,12.2604575,4.107094385,182182,111455,22207
Koko-Besse,NGA460,Kebbi,1346.136432,11.46519133,4.380581412,201744,170738,34301
Maiyama,NGA461,Kebbi,1068.040034,11.86891797,4.339204065,108701,196453,39689
Ngaski,NGA462,Kebbi,2714.306805,10.5741307,4.763444929,166970,128948,24342
Sakaba,NGA463,Kebbi,1305.673097,11.14011085,5.543757737,108987,132486,27020
Shanga,NGA464,Kebbi,1699.700717,11.21885375,4.682544072,204519,182214,36584
Suru,NGA465,Kebbi,1403.26254,11.81806823,4.082204364,204575,190467,38395
Wasagu-Danko,NGA466,Kebbi,4171.590413,11.44875429,5.631502426,381054,337579,68962
Yauri,NGA467,Kebbi,1435.28123,11.0109582,4.499032479,131984,102719,19107
Zuru,NGA468,Kebbi,678.2189345,11.49048307,5.29609361,235067,227712,46168
Adavi,NGA469,Kogi,730.606835,7.674232573,6.444590434,318069,272704,36312
Ajaokuta,NGA470,Kogi,1384.64937,7.514741214,6.596390202,178329,112408,15555
Ankpa,NGA471,Kogi,1220.257042,7.439313937,7.641924103,328059,255588,39419
Bassa1,NGA472,Kogi,1960.874532,7.79076149,7.032293411,153920,103955,16022
Dekina,NGA473,Kogi,2504.755914,7.568171783,7.182832212,354150,391453,58018
Ibaji,NGA474,Kogi,1395.951963,6.817613733,6.770446372,162997,65240,9730
Idah,NGA475,Kogi,36.38649558,7.080600969,6.71846953,92781,34630,4785
Igalamela-Odolu,NGA476,Kogi,2207.789109,7.064408613,7.036623472,203272,155673,22600
Ijumu,NGA477,Kogi,1328.284738,7.835820832,5.962516788,186073,98839,12998
Kabba-Bunu,NGA478,Kogi,2757.571235,8.100068017,6.228895247,138428,141447,18775
Kogi,NGA479,Kogi,1527.780427,8.147120702,6.865012969,143325,67623,10425
Lokoja,NGA480,Kogi,3243.324021,8.209047819,6.468624918,224581,246888,35957
Mopa-Muro,NGA481,Kogi,918.3930684,8.15153811,5.909263043,51020,39638,5176
Ofu,NGA482,Kogi,1707.406922,7.325493115,7.037583936,247874,157947,23067
Ogori-Mangongo,NGA483,Kogi,80.66743523,7.477013718,6.160546179,50369,19181,2604
Okehi,NGA484,Kogi,672.5827069,7.729004702,6.329300064,67307,49466,6818
Okene,NGA485,Kogi,333.1475856,7.473279328,6.344212067,535565,191893,24224
Olamabolo,NGA486,Kogi,1150.100639,7.192068333,7.536052861,201297,205618,30779
Omala,NGA487,Kogi,1698.286673,7.808645355,7.546601306,130822,94874,14616
Yagba East,NGA488,Kogi,1422.3703,8.171970001,5.771195522,169281,65740,8586
Yagba West,NGA489,Kogi,1300.699199,8.315991083,5.539065862,148076,55416,7304
Asa,NGA490,Kwara,1308.314862,8.430883801,4.436226391,73875,134854,17434
Baruten,NGA491,Kwara,9936.331178,9.291884713,3.383295815,249047,262357,40791
Edu,NGA492,Kwara,2596.408409,8.896719999,5.188328232,250407,123328,19012
Ekiti,NGA493,Kwara,488.1916846,8.109628587,5.342523825,110652,31496,3862
Ifelodun1,NGA494,Kwara,3501.71735,8.544977136,5.054198902,250193,114762,15684
Ilorin East,NGA495,Kwara,495.0753815,8.597102852,4.760725685,617327,703885,83157
Ilorin South,NGA496,Kwara,177.6083579,8.443929757,4.672018403,239879,62949,7539
Ilorin West,NGA497,Kwara,106.4547667,8.487518217,4.523497133,231053,347148,40406
Irepodun1,NGA498,Kwara,749.3381936,8.167604341,4.919568657,213807,102680,12367
Isin,NGA499,Kwara,644.4331792,8.26479214,5.042629378,58120,31117,3891
Kaiama,NGA500,Kwara,7125.223995,9.407867007,4.178026034,150973,192827,31492
Moro,NGA501,Kwara,3337.39736,8.842447559,4.569274359,135893,141190,20311
Offa,NGA502,Kwara,96.97085666,8.151206456,4.684141832,92742,127389,13973
Oke-Ero,NGA503,Kwara,445.6167237,8.19343117,5.27694462,64593,32977,3872
Oyun,NGA504,Kwara,484.189471,8.168273212,4.652116216,115744,88094,10466
Pategi,NGA505,Kwara,2975.126465,8.630852144,5.798787629,145760,75781,11215
Agege,NGA506,Lagos,11.26300755,6.623579864,3.316002672,274761,286536,33423
Ajeromi-Ifelodun,NGA507,Lagos,12.39523506,6.453561926,3.337481502,536523,314696,38435
Alimosho,NGA508,Lagos,186.1948596,6.574395774,3.258790965,2215151,2073536,255894
Amuwo-Odofin,NGA509,Lagos,140.0255533,6.43234594,3.288442602,610983,376374,48158
Apapa,NGA510,Lagos,26.79817758,6.440926605,3.363775575,169329,270865,34097
Badagry,NGA511,Lagos,452.995918,6.436501799,2.920954854,238115,661508,94095
Epe,NGA512,Lagos,1194.898844,6.555280428,3.968397481,225171,202316,29725
Eti-Osa,NGA513,Lagos,289.9045951,6.464816749,3.534118138,416143,490434,64410
Ibeju-Lekki,NGA514,Lagos,471.9061897,6.469950977,3.865905972,144810,301627,44210
Ifako-Ijaye,NGA515,Lagos,26.7690993,6.658220967,3.312305382,509339,296496,35302
Ikeja,NGA516,Lagos,46.42777474,6.599219752,3.348844978,564545,307619,36360
Ikorodu,NGA517,Lagos,454.6522191,6.604560343,3.561960818,705365,1241391,170375
Kosofe,NGA518,Lagos,109.0882386,6.580418531,3.415739969,923616,490424,62168
Lagos Island,NGA519,Lagos,9.888754547,6.455575579,3.395107181,61454,44531,5312
Lagos Mainland,NGA520,Lagos,36.53437075,6.497996838,3.402282721,212230,269177,33610
Mushin,NGA521,Lagos,17.57603972,6.531137442,3.351224762,538520,349743,42822
Ojo,NGA522,Lagos,170.0338767,6.451577588,3.162314445,788460,696898,89498
Oshodi-Isolo,NGA523,Lagos,44.99938245,6.530983142,3.314105398,1128221,555814,68971
Shomolu,NGA524,Lagos,11.84189115,6.535174137,3.385115439,261414,151549,18452
Surulere1,NGA525,Lagos,23.12233305,6.492087461,3.350853617,539907,118263,14500
Akwanga,NGA526,Nasarawa,1021.545901,9.020169912,8.34090116,162051,100305,15666
Awe,NGA527,Nasarawa,2611.464771,8.247232526,9.229466762,139217,180340,29024
Doma,NGA528,Nasarawa,2771.336517,8.162549837,8.284586567,177464,1041082,170992
Karu,NGA529,Nasarawa,2707.640387,9.049490675,7.800079931,239484,705828,108921
Keana,NGA530,Nasarawa,1070.503931,8.171706701,8.788262058,107530,114077,18699
Keffi,NGA531,Nasarawa,141.5135605,8.837495143,7.832685328,129463,189152,26658
Kokona,NGA532,Nasarawa,1889.651086,8.843613932,8.06551574,118529,231347,37664
Lafia,NGA533,Nasarawa,2821.1894,8.638937636,8.715374287,412452,237242,38261
Nasarawa2,NGA400,Nasarawa,5860.503213,8.332631025,7.789406058,235815,329542,51926
Nasarawa-Eggon,NGA535,Nasarawa,1237.420674,8.745451516,8.437492832,189537,59266,9862
Obi2,NGA132,Nasarawa,989.4323497,8.351610449,8.738592158,195830,253820,41786
Toto,NGA537,Nasarawa,2963.839824,8.257527353,7.205103309,160320,130428,20497
Wamba,NGA538,Nasarawa,1185.451836,8.977441509,8.687778222,91162,228510,37446
Agaie,NGA539,Niger,1948.983709,8.946235352,6.44045921,135427,99883,16474
Agwara,NGA540,Niger,1586.55005,10.74102177,4.527640872,44534,92382,18003
Bida,NGA541,Niger,52.25909424,9.096201535,6.017132428,244809,192291,28135
Borgu,NGA542,Niger,11581.58203,10.31945763,4.150257319,226037,341685,61877
Bosso,NGA543,Niger,1636.330929,9.612050637,6.415987481,172693,240919,42911
Chanchaga,NGA544,Niger,74.38437133,9.618827049,6.545783566,294748,375115,61699
Edati,NGA545,Niger,1792.425647,8.975072314,5.844081959,309484,45842,7727
Gbako,NGA546,Niger,1797.498722,9.297964084,6.010510404,178393,146917,26436
Gurara,NGA547,Niger,980.1011041,9.339539007,7.060233266,94079,88263,14940
Katcha,NGA548,Niger,1723.141978,9.149589749,6.26665862,204854,153302,25813
Kontagora,NGA549,Niger,2146.023736,10.42911338,5.488114685,196770,233350,42201
Lapai,NGA550,Niger,3121.597437,8.742773553,6.663475059,166449,196430,32105
Lavun,NGA551,Niger,2906.925721,9.430656165,5.596431634,153511,189277,33068
Magama,NGA552,Niger,4230.863243,10.37591994,4.976624016,267015,291278,55218
Mariga,NGA553,Niger,5739.556413,10.67731559,5.821190841,274587,366984,72946
Mashegu,NGA554,Niger,9433.486998,9.867463704,5.246611354,282951,653729,122229
Mokwa,NGA555,Niger,4439.502684,9.212913776,5.243043805,328421,244889,39910
Muya,NGA556,Niger,2241.006873,9.819806902,7.041170836,143084,85727,16010
Pailoro,NGA557,Niger,2122.834744,9.470215816,6.862475511,202357,205508,36559
Rafi,NGA558,Niger,3794.491287,10.1767167,6.270637934,237916,269161,52083
Rijau,NGA559,Niger,3308.413973,11.09029493,5.134413707,242753,212995,42778
Shiroro,NGA560,Niger,5171.926888,10.11333639,6.688008522,302556,273768,52317
Suleja,NGA561,Niger,122.0854255,9.214458421,7.188635862,383168,380348,58975
Tafa,NGA562,Niger,227.521107,9.272305854,7.285689738,84179,64092,10239
Wushishi,NGA563,Niger,1930.900951,9.687037322,5.958004332,109276,105851,19963
Abeokuta North,NGA564,Ogun,813.9979693,7.223004856,3.173587704,310258,476973,58663
Abeokuta South,NGA565,Ogun,71.95166132,7.153118071,3.356943578,273796,419912,52677
Ado-Odo-Ota,NGA566,Ogun,881.9790535,6.618841023,3.084625141,1086525,2157354,284568
Egbado North,NGA567,Ogun,2086.654274,7.125310846,2.905028057,227905,161198,21036
Egbado South,NGA568,Ogun,631.8448849,6.790762312,2.957822854,234844,1682330,225619
Ewekoro,NGA569,Ogun,598.0444745,6.944373774,3.199782802,87750,249433,34425
Ifo,NGA570,Ogun,524.3820365,6.767693471,3.255180393,996015,322746,43184
Ijebu East,NGA571,Ogun,2254.918693,6.827367962,4.269431862,127236,70396,9637
Ijebu North,NGA572,Ogun,975.8856281,7.014595242,3.984464385,381564,274945,36923
Ijebu North East,NGA573,Ogun,119.0736702,6.888015501,4.024890176,55504,160776,21641
Ijebu ode,NGA574,Ogun,193.2540906,6.763379862,3.97076299,233381,123891,15372
Ikenne,NGA575,Ogun,144.8742275,6.905380388,3.685646221,160650,211920,29955
Imeko-Afon,NGA576,Ogun,1684.795557,7.640619672,2.877448826,136362,911141,124046
Ipokia,NGA577,Ogun,600.0239545,6.616300748,2.810299406,204895,303137,38569
Obafemi-Owode,NGA578,Ogun,1420.773127,6.992576743,3.482309048,325816,254442,34791
Odeda,NGA579,Ogun,1574.509207,7.292418184,3.518797045,187218,60043,8896
Odogbolu,NGA580,Ogun,545.2225501,6.781222109,3.8203698,192983,71485,9498
Ogun waterside,NGA581,Ogun,1011.31236,6.491598275,4.41048553,74170,742399,102467
Remo North,NGA582,Ogun,201.0476969,7.005634088,3.732274878,75596,356832,45086
Shagamu,NGA583,Ogun,618.3675912,6.781682105,3.583128917,331797,406563,55063
Akoko North East,NGA584,Ondo,378.1669455,7.538636087,5.818426675,228583,157244,20390
Akoko North West,NGA585,Ondo,520.751785,7.642692615,5.794530243,261135,130074,16780
Akoko South East,NGA586,Ondo,229.0347353,7.429703013,5.908767586,82360,41979,5603
Akoko South West,NGA587,Ondo,537.9045759,7.398350082,5.687567779,313873,155749,20313
Akure North,NGA588,Ondo,669.0453402,7.266735432,5.314265397,139132,292897,37565
Akure South,NGA589,Ondo,335.8051979,7.210532589,5.20212133,484475,623704,79548
Ese-Odo,NGA590,Ondo,768.5294291,6.222516984,4.969738583,210881,81759,12117
Idanre,NGA591,Ondo,1936.781459,6.975088717,5.198799539,164993,193748,25563
Ifedore,NGA592,Ondo,299.2842778,7.373785618,5.097980597,232515,483247,60182
Ilaje,NGA593,Ondo,1351.102556,6.22673756,4.769886075,364474,179072,27160
Ile-Oluji-Okeigbo,NGA594,Ondo,706.4770587,7.265877377,4.875366729,265614,315338,39510
Irele,NGA595,Ondo,972.0488142,6.522316493,5.004342211,191385,127755,18321
Odigbo,NGA596,Ondo,1836.878664,6.756749067,4.736376115,289679,310319,42904
Okitipupa,NGA597,Ondo,810.7236884,6.553467009,4.716070905,305963,218894,30793
Ondo East,NGA598,Ondo,358.182405,7.084143128,4.954034793,108595,29819,3882
Ondo West,NGA599,Ondo,981.3924497,7.015630235,4.741372914,435498,245235,30993
Ose,NGA600,Ondo,1484.562966,7.046382889,5.733786282,170005,147408,19749
Owo,NGA601,Ondo,1040.765492,7.151150628,5.564340255,307355,318754,40905
Aiyedade,NGA602,Osun,1125.916042,7.311528264,4.303748506,183648,61680,7965
Aiyedire,NGA603,Osun,265.7825236,7.577408491,4.242662287,133765,79597,10043
Atakumosa East,NGA604,Osun,241.2252651,7.462651674,4.788110886,4223,166479,21863
Atakumosa West,NGA605,Osun,584.6922197,7.517314652,4.667380271,82638,81429,10676
Boluwaduro,NGA606,Osun,145.8951652,7.931685123,4.802775509,118709,55034,6899
Boripe,NGA607,Osun,133.913465,7.855850136,4.669463763,200883,216380,27695
Ede North,NGA608,Osun,112.3795381,7.729973759,4.477416918,122910,122524,15833
Ede South,NGA609,Osun,221.6193808,7.659451341,4.458203916,116254,131324,17092
Egbedore,NGA610,Osun,274.3020366,7.797246948,4.42785485,158724,257667,30541
Ejigbo,NGA611,Osun,378.3517743,7.846521768,4.269954598,180500,153491,19978
Ife Central,NGA612,Osun,112.3728198,7.544981997,4.533869459,64853,176638,22512
Ife East,NGA613,Osun,174.0660618,7.426104879,4.601862324,379082,446687,57839
Ife North,NGA614,Osun,899.9287303,7.26816404,4.457546123,149048,124568,16485
Ife South,NGA615,Osun,738.6092543,7.226210431,4.595388384,303170,135870,17623
Ifedayo,NGA616,Osun,130.3243055,7.979106641,4.989614152,48332,23839,2815
Ifelodun2,NGA494,Osun,116.1581978,7.920574504,4.635642149,87587,133083,16769
Ila,NGA618,Osun,307.6395454,7.988416766,4.888245746,74708,104876,13365
Ilesha East,NGA619,Osun,71.55824556,7.604386783,4.759871774,184891,212247,26808
Ilesha West,NGA620,Osun,63.71266628,7.645100855,4.716486174,166556,292630,36415
Irepodun2,NGA498,Osun,65.15027257,7.879117433,4.512782748,138425,251,32
Irewole,NGA622,Osun,273.9730056,7.415382243,4.223486166,108504,162343,20950
Isokan,NGA623,Osun,181.2141021,7.302452613,4.190564759,160197,105249,13676
Iwo,NGA624,Osun,217.2272362,7.671226812,4.141688698,217228,313171,40632
Obokun,NGA625,Osun,534.6050599,7.780756528,4.762644386,117688,114683,14168
Odo-Otin,NGA626,Osun,299.097219,8.007877181,4.67518292,178045,156669,19557
Ola-oluwa,NGA627,Osun,332.1167188,7.7552789,4.205441029,71234,56385,7191
Olorunda,NGA628,Osun,98.13114205,7.858216465,4.57110838,117329,282210,31437
Oriade,NGA629,Osun,471.8522238,7.540155454,4.872389553,152840,159496,19750
Orolu,NGA630,Osun,80.7927179,7.900444015,4.472664106,57075,126687,15465
Osogbo,NGA631,Osun,47.2299264,7.761243819,4.573135223,239273,268080,30418
Afijio,NGA632,Oyo,730.7999674,7.742118265,3.901255094,147499,123201,15919
Akinyele,NGA633,Oyo,524.2972943,7.562432287,3.93139439,347517,464596,57933
Atiba,NGA634,Oyo,1782.979896,8.248173877,3.904317801,225563,85371,11222
Atigbo,NGA635,Oyo,3038.343776,8.378540688,3.232543676,217238,98557,13518
Egbeda,NGA636,Oyo,192.8051789,7.385630102,4.065901128,349152,666694,79218
Ibadan North,NGA637,Oyo,27.56205189,7.406103758,3.91331219,400580,137436,15322
Ibadan North East,NGA638,Oyo,18.07693996,7.360683059,3.93473976,344262,365876,42263
Ibadan North West,NGA639,Oyo,26.22779469,7.387632113,3.884349016,230641,103445,11507
Ibadan South East,NGA640,Oyo,17.03254826,7.327729696,3.911508071,215135,230426,26456
Ibadan South West,NGA641,Oyo,40.75080768,7.346466658,3.872008117,391839,261892,29089
Ibarapa Central,NGA642,Oyo,444.0160237,7.424628545,3.254785089,128683,77760,9712
Ibarapa East,NGA643,Oyo,846.6307282,7.60077635,3.494598507,153439,96804,11932
