,DS,2010,kill_rate_10
692,Kaura-Namoda,0.849562703,0.729114918
693,Maradun,0.784048389,0.704571751
694,Tsafe,0.761637371,0.695053598
695,Maru,0.666981164,0.648057939
696,Shinkafi,0.821606125,0.719220791
697,Talata Mafara,0.763086665,0.695687174
698,Zurmi,0.829966743,0.722267625
699,Mbo,0.624726276,0.623431518
700,Oron,0.682483196,0.656525564
701,Udung Uko,0.559527442,0.581119644
702,Calabar South,0.730120606,0.680645336
703,Ibeno,0.570389397,0.588517426
704,Eastern Obolo,0.424051845,0.479213899
705,Degema,0.397008825,0.457315336
706,Brass,0.445079865,0.495985493
707,Southern Ijaw,0.403527006,0.462621881
708,Ekeremor,0.36662663,0.432410656
709,Burutu,0.255959489,0.341825666
710,Warri South West,0.175167028,0.279397298
711,Warri North,0.165456218,0.272265425
712,Ilaje,0.246903139,0.334596473
713,Ibeju/Lekki,0.388788103,0.450601494
714,Amuwo-Odofin,0.379487276,0.442981113
715,Badagry,0.300162386,0.377673591
716,Egbado North,0.290880854,0.370083362
717,Imeko-Afon,0.312613984,0.387892752
718,Iwajowa,0.321530489,0.395230051
719,Atigbo,0.325183476,0.398239489
720,Baruten,0.180078073,0.283038582
721,Borgu,0.191233851,0.291392896
722,Bagudo,0.368569544,0.434009606
723,Dandi,0.524034182,0.556042271
724,Arewa-Dandi,0.749125399,0.689478583
725,Gudu,0.804976477,0.712931392
726,Tangaza,0.766095969,0.696994695
727,Gada,0.807166329,0.713777265
728,Sabon Birni,0.807978606,0.71408965
729,kaita,0.800211232,0.711071993
730,Jibia,0.795459867,0.709192296
731,Mashi,0.797774462,0.710111197
732,Mai'Adua,0.793773746,0.708519037
733,Zango,0.797085484,0.709838311
734,Baure,0.809378941,0.714626451
735,Sule-Tankarkar,0.825938065,0.72080897
736,Maigatari,0.849211337,0.728995708
737,Ussa,0.698715732,0.665065455
738,Machina,0.866882607,0.734833649
739,Yusufari,0.859935379,0.732576603
740,Shomolu,0.391468011,0.452792582
741,Yunusari,0.876294018,0.737814087
742,Monguno,0.8284806,0.72173159
743,Mobbar,0.880030843,0.7389732
744,Ngala,0.779586268,0.702723891
745,Abadam,0.725686066,0.678520095
746,Kukawa,0.715801159,0.673694681
747,Kala/Balge,0.793847309,0.708548478
748,Bama,0.84785796,0.728535338
749,Gwoza,0.814412315,0.716537823
750,Madagali,0.82635036,0.720959058
751,Michika,0.791568639,0.70763362
752,Mubi North,0.781123417,0.703363087
753,Maiha,0.791366743,0.707552273
754,Fufore,0.801692823,0.711652868
755,Jada,0.78167837,0.703593174
756,Ganaye,0.675649716,0.65283055
757,Toungo,0.67973984,0.655049294
758,Kurmi,0.764540595,0.696320248
759,Gashaka,0.700162371,0.665810347
760,Sardauna,0.612710103,0.616019518
761,Takum,0.707781092,0.669689766
762,Kwande,0.73133068,0.681221025
763,Obanliku,0.744786309,0.687500836
764,Boki,0.732484623,0.681768323
765,Etung,0.737605408,0.684177193
766,Akamkpa,0.753474267,0.691437797
767,Bakassi,0.559803963,0.581309634
768,Akpabuyo,0.762372749,0.695375392
769,Eti-Osa,0.420496622,0.476354122
770,Ikorodu,0.397525994,0.457736943
771,Kosofe,0.381139863,0.444336795
772,Lagos Island,0.426447451,0.481137207
773,Lagos Mainland,0.418865353,0.475039825
